date,sentiment_value,sentiment_class,trades,active_accounts,volume_usd,closed_pnl,fees,net_after_fees,realized_fills,win_rate,pnl_per_realized_fill,pnl_margin_bps
2024-06-21,63.0,Greed,80,2,176264.49000000008,773.5582039999999,61.27709899999998,712.2811049999999,3,1.0,257.85273466666666,43.88621916983957
2024-06-22,53.0,Neutral,24,2,169594.26999999996,756.876565,40.533382,716.3431830000001,8,1.0,94.609570625,44.62866375143454
2024-06-23,55.0,Greed,5,1,1792.1200000000001,0.0,0.17921199999999998,-0.17921199999999998,0,,,0.0
2024-06-24,51.0,Neutral,31,2,403002.79999999993,0.0,103.551001,-103.551001,0,,,0.0
2024-06-25,30.0,Fear,49,1,103099.07999999999,4869.353105000001,36.084651,4833.268454000001,11,1.0,442.6684640909092,472.29840508761106
2024-06-26,46.0,Neutral,72,2,365190.65999999957,4197.732182,127.55429999999996,4070.177882,21,1.0,199.89200866666664,114.94631823278299
2024-06-27,40.0,Fear,30,2,130486.95,0.0,45.556012,-45.556012,0,,,0.0
2024-06-29,30.0,Fear,75,2,280095.1099999999,6150.326145,460.2952310000001,5690.030914,24,1.0,256.263589375,219.57991858551196
2024-06-30,47.0,Neutral,14,2,30520.690000000002,0.0,17.057668999999997,-17.057668999999997,0,,,0.0
2024-07-01,53.0,Neutral,64,2,362670.15,5065.839308000001,425.323025,4640.516283000002,26,1.0,194.83997338461543,139.6817275422309
2024-07-02,51.0,Neutral,18,1,33347.47,2421.253116,11.458730000000001,2409.794386,13,1.0,186.25023969230767,726.0680093572315
2024-07-03,50.0,Neutral,18,2,179600.65999999997,1118.387284,62.628682000000005,1055.7586019999999,4,1.0,279.596821,62.2707780695238
2024-07-04,44.0,Fear,25,2,430568.01000000007,0.0,113.02464499999999,-113.02464499999999,0,,,0.0
2024-07-05,29.0,Fear,32,2,272289.89,0.0,95.13071699999996,-95.13071699999996,0,,,0.0
2024-07-06,26.0,Fear,24,1,2490.1699999999996,108.872178,344.35416,-235.48198199999996,7,1.0,15.553168285714287,437.2078131211926
2024-07-07,29.0,Fear,10,1,498.74999999999994,61.428942,0.049874999999999996,61.379067,10,1.0,6.1428942,1231.657984962406
2024-07-08,28.0,Fear,1,1,497.64,0.0,0.0156,-0.0156,0,,,0.0
2024-07-09,27.0,Fear,15,1,2736.45,648.9844120000001,0.39756800000000003,648.5868440000002,15,1.0,43.26562746666668,2371.6289791518216
2024-07-10,28.0,Fear,56,2,687900.2099999998,11977.734907,240.7650399999999,11736.969867,38,1.0,315.20355018421054,174.1202391404998
